8/2_rnase1 (Time),8/2_rnase1 (Lp/Rp),8/2_rnase2 (Time),8/2_rnase2 (Lp/Rp),8/9_rnase1-1 (Time),8/9_rnase1 (Lp/Rp),8/9_rnase1-2 (Time),8/9_rnase1-2 (Lp/Rp),3/16_rnase1-2 (Time),3/16_rnase1-2 (Lp/Rp),3/17_rnase1-1 (Time),3/17_rnase1-1 (Lp/Rp),3/17_rnase1-2(Time),3/17_rnase1-2 (Lp/Rp),3/17_rnase1-3 (Time),3/17_rnase1-3 (Lp/Rp),3/17_rnase1-4 (Time),3/17_rnase1-4 (Lp/Rp)
,,,,600,3.977171038,,,,,,,,,,,,
,,,,602,3.712026302,,,,,,,,,,,,
,,,,604,3.977171038,,,,,,,,,,,,
,,,,606,3.712026302,,,,,,,,,,,,
,,,,608,3.977171038,,,,,,,,,,,,
,,,,610,3.977171038,,,,,,,,,,,,
,,,,612,3.84459867,,,,,,,,,,,,
,,,,614,3.712026302,,,,,,,,,,,,
,,,,616,3.84459867,,,,,,,,,,,,
,,,,618,3.712026302,,,,,,,,,,,,
,,,,620,3.84459867,,,,,,,,,,,,
,,,,622,3.84459867,,,,,,,,,,,,
,,,,624,3.712026302,,,,,,,,,,,,
,,,,626,3.84459867,,,,,,,,,,,,
,,,,628,3.84459867,,,,,,,,,,,,
,,,,630,3.977171038,,,,,,,,,,,,
,,,,632,3.977171038,,,,,,,,,,,,
,,,,634,3.84459867,,,,,,,,,,,,
,,,,636,3.977171038,,,,,,,,,,,,
,,,,638,3.977171038,,,,,,,,,,,,
,,,,640,3.84459867,,,,,,,,,,,,
,,,,642,3.977171038,,,,,,,,,,,,
,,,,644,3.84459867,,,,,,,,,,,,
,,,,646,3.977171038,,,,,,,,,,,,
,,,,648,4.109743406,,,,,,,,,,,,
,,,,650,4.109743406,,,,,,,,,,,,
,,,,652,3.977171038,,,,,,,,,,,,
,,,,654,3.977171038,,,,,,,,,,,,
,,,,656,4.109743406,,,,,,,,,,,,
,,,,658,3.977171038,,,,,,,,,,,,
,,,,660,4.109743406,,,,,,,,,,,,
,,,,662,3.977171038,,,,,,,,,,,,
,,,,664,4.109743406,,,,,,,,,,,,
,,,,666,3.977171038,,,,,,,,,,,,
,,,,668,4.109743406,,,,,,,,,,,,
,,,,670,4.242315774,,,,,,,,,,,,
