Time,2.5 Pa,5 Pa,20 Pa
0,2.386302623,1.988585519,1.060578944
2,2.518874991,1.193151311,1.325723679
4,2.121157887,0.1325723679,1.590868415
6,0.6628618397,,1.590868415
8,0.3977171038,,1.723440783
10,,,1.723440783
12,,,1.856013151
14,,,1.856013151
16,,,1.856013151
18,,,1.856013151
20,,,1.856013151
22,,,1.988585519
24,,,1.856013151
26,,,1.988585519
28,,,1.988585519
30,,,1.856013151
32,,,1.856013151
34,,,1.988585519
36,,,1.988585519
38,,,1.988585519
40,,,1.988585519
42,,,1.988585519
44,,,2.121157887
46,,,1.988585519
48,,,1.988585519
50,,,1.988585519
52,,,2.121157887
54,,,2.121157887
56,,,2.121157887
58,,,1.988585519
60,,,2.121157887
62,,,2.121157887
64,,,2.121157887
66,,,2.121157887
68,,,2.121157887
70,,,2.121157887
72,,,1.988585519
74,,,2.253730255
76,,,2.253730255
78,,,2.253730255
80,,,2.121157887
82,,,2.253730255
84,,,2.121157887
86,,,2.253730255
88,,,2.253730255
90,,,2.386302623
92,,,2.253730255
94,,,2.253730255
96,,,2.253730255
98,,,2.386302623
100,,,2.253730255
102,,,2.386302623
104,,,2.386302623
106,,,2.386302623
108,,,2.386302623
110,,,2.386302623
112,,,2.386302623
114,,,2.386302623
116,,,2.386302623
118,,,2.386302623
120,,,2.518874991
122,,,2.386302623
124,,,2.518874991
126,,,2.518874991
128,,,2.386302623
130,,,2.518874991
132,,,2.386302623
134,,,2.518874991
136,,,2.518874991
138,,,2.518874991
140,,,2.651447359
142,,,2.518874991
144,,,2.651447359
146,,,2.651447359
148,,,2.784019727
150,,,2.651447359
152,,,2.784019727
154,,,2.651447359
156,,,2.651447359
158,,,2.651447359
160,,,2.651447359
162,,,2.651447359
164,,,2.651447359
166,,,2.651447359
168,,,2.784019727
170,,,2.784019727
172,,,2.784019727
174,,,2.651447359
176,,,2.784019727
178,,,2.784019727
180,,,2.784019727
182,,,2.784019727
184,,,2.784019727
186,,,2.784019727
188,,,2.784019727
190,,,2.518874991
192,,,2.916592095
194,,,2.916592095
196,,,2.916592095
198,,,3.049164463
200,,,2.916592095
202,,,3.049164463
204,,,2.916592095
206,,,3.181736831
208,,,3.049164463
210,,,3.181736831
212,,,3.049164463
214,,,3.049164463
216,,,3.181736831
218,,,3.049164463
220,,,3.181736831
222,,,3.181736831
224,,,3.181736831
226,,,3.181736831
228,,,3.314309199
230,,,3.314309199
232,,,3.181736831
234,,,3.314309199
236,,,3.446881566
238,,,3.181736831
240,,,3.446881566
242,,,3.314309199
244,,,3.446881566
246,,,3.314309199
248,,,3.446881566
250,,,3.314309199
252,,,3.446881566
254,,,3.314309199
256,,,3.446881566
258,,,3.314309199
260,,,3.446881566
262,,,3.314309199
264,,,3.446881566
266,,,3.446881566
268,,,3.446881566
270,,,3.446881566
272,,,3.446881566
274,,,3.446881566
276,,,3.446881566
278,,,3.446881566
280,,,3.579453934
282,,,3.446881566
284,,,3.579453934
286,,,3.579453934
288,,,3.712026302
290,,,3.579453934
292,,,3.84459867
294,,,3.712026302
296,,,3.84459867
298,,,3.712026302
300,,,3.84459867
302,,,3.712026302
304,,,3.84459867
306,,,3.712026302
308,,,3.84459867
310,,,3.712026302
312,,,3.84459867
314,,,3.712026302
316,,,3.712026302
318,,,3.712026302
320,,,3.84459867
322,,,3.712026302
324,,,3.977171038
326,,,3.84459867
328,,,3.84459867
330,,,3.84459867
332,,,3.977171038
334,,,3.977171038
336,,,3.84459867
338,,,3.977171038
340,,,3.84459867
342,,,4.109743406
344,,,3.84459867
346,,,4.242315774
348,,,3.977171038
350,,,4.242315774
352,,,3.977171038
354,,,4.109743406
356,,,3.977171038
358,,,3.977171038
360,,,4.109743406
362,,,4.109743406
364,,,3.977171038
366,,,4.109743406
368,,,3.977171038
370,,,3.977171038
372,,,4.109743406
374,,,3.977171038
376,,,4.109743406
378,,,4.109743406
380,,,4.242315774
382,,,3.977171038
384,,,4.109743406
386,,,3.977171038
388,,,4.109743406
390,,,3.977171038
392,,,4.242315774
394,,,4.109743406
396,,,4.109743406
398,,,4.109743406
400,,,4.374888142
402,,,4.374888142
404,,,4.374888142
406,,,4.374888142
408,,,4.374888142
410,,,4.374888142
412,,,4.374888142
414,,,4.374888142
416,,,4.50746051
418,,,4.50746051
420,,,4.50746051
422,,,4.50746051
424,,,4.640032878
426,,,4.50746051
428,,,4.640032878
430,,,4.374888142
432,,,4.640032878
434,,,4.50746051
436,,,4.50746051
438,,,4.374888142
440,,,4.50746051
442,,,4.50746051
444,,,4.640032878
446,,,4.772605246
448,,,4.640032878
450,,,4.772605246
452,,,4.772605246
454,,,4.772605246
456,,,4.772605246
458,,,4.772605246
460,,,4.772605246
462,,,4.772605246
464,,,4.772605246
466,,,4.772605246
468,,,4.772605246
470,,,4.772605246
472,,,4.905177614
474,,,4.772605246
476,,,4.905177614
478,,,4.772605246
480,,,5.037749982
482,,,4.905177614
484,,,5.037749982
486,,,4.905177614
488,,,5.037749982
490,,,4.905177614
492,,,5.037749982
494,,,5.037749982
496,,,5.037749982
498,,,5.17032235
500,,,5.037749982
502,,,5.17032235
