Time,5 Pa,5 Pa,5 Pa,0 Pa,0 Pa,0 Pa
54,0.9942927596,1.491439139,1.491439139,1.292580587,2.286873347,1.988585519
56,0.9942927596,1.392009863,1.392009863,1.292580587,2.286873347,1.988585519
58,0.9942927596,1.491439139,1.491439139,1.292580587,2.187444071,1.988585519
60,1.093722036,1.491439139,1.392009863,1.392009863,2.286873347,2.088014795
62,0.9942927596,1.392009863,1.491439139,1.292580587,2.187444071,2.088014795
64,1.093722036,1.590868415,1.491439139,1.193151311,2.286873347,1.988585519
66,0.9942927596,1.590868415,1.392009863,1.093722036,2.187444071,2.088014795
68,0.7954342076,1.392009863,1.392009863,0.9942927596,2.286873347,1.988585519
70,1.093722036,1.491439139,1.590868415,1.093722036,2.088014795,1.988585519
72,1.193151311,1.491439139,1.392009863,0.9942927596,2.187444071,1.988585519
74,0.9942927596,1.392009863,1.491439139,0.7954342076,2.187444071,2.088014795
76,0.8948634836,1.392009863,1.392009863,0.7954342076,1.988585519,1.988585519
78,0.8948634836,1.491439139,1.491439139,0.7954342076,1.988585519,1.889156243
80,0.9942927596,1.491439139,1.590868415,0.7954342076,2.088014795,1.988585519
82,1.093722036,1.590868415,1.590868415,0.8948634836,2.088014795,1.889156243
84,0.7954342076,1.491439139,1.590868415,0.4971463798,2.088014795,1.988585519
86,0.9942927596,1.491439139,1.590868415,0.5965756557,2.088014795,1.988585519
88,0.9942927596,1.491439139,1.590868415,0.3977171038,2.088014795,1.988585519
90,1.093722036,1.491439139,1.590868415,,1.988585519,1.988585519
92,1.093722036,1.590868415,1.491439139,,2.088014795,2.088014795
94,1.093722036,1.590868415,1.491439139,,1.988585519,2.088014795
96,1.093722036,1.590868415,1.491439139,,1.988585519,2.088014795
98,1.292580587,1.690297691,1.392009863,,2.088014795,1.988585519
100,1.193151311,1.590868415,1.491439139,,2.088014795,1.889156243
102,1.193151311,1.590868415,1.491439139,,1.988585519,1.889156243
104,1.193151311,1.491439139,1.392009863,,1.988585519,1.889156243
106,1.193151311,1.491439139,1.491439139,,1.988585519,1.889156243
108,1.193151311,1.491439139,1.491439139,,1.988585519,1.690297691
110,1.193151311,1.590868415,1.590868415,,1.988585519,1.690297691
112,1.292580587,1.590868415,1.590868415,,1.988585519,1.889156243
114,1.292580587,1.690297691,1.590868415,,1.889156243,1.789726967
116,1.193151311,1.690297691,1.690297691,,1.889156243,1.988585519
118,1.292580587,1.690297691,1.690297691,,2.088014795,1.889156243
120,1.292580587,1.789726967,1.789726967,,1.789726967,1.988585519
122,1.392009863,1.690297691,1.789726967,,1.889156243,1.889156243
124,1.193151311,1.690297691,1.789726967,,1.789726967,1.789726967
126,1.193151311,1.690297691,1.690297691,,1.690297691,1.889156243
128,1.392009863,1.590868415,1.789726967,,1.789726967,1.889156243
130,1.292580587,1.690297691,1.690297691,,1.789726967,1.988585519
132,1.193151311,1.690297691,1.590868415,,1.789726967,1.889156243
134,1.292580587,1.690297691,1.690297691,,1.690297691,1.690297691
136,1.292580587,1.889156243,1.590868415,,1.789726967,1.889156243
138,1.193151311,1.690297691,1.590868415,,1.889156243,1.889156243
140,1.193151311,1.789726967,1.590868415,,1.889156243,1.789726967
142,1.292580587,1.590868415,1.789726967,,1.789726967,1.988585519
144,1.292580587,1.690297691,1.690297691,,1.789726967,1.889156243
146,1.292580587,1.690297691,1.590868415,,1.690297691,1.988585519
148,1.292580587,1.789726967,1.590868415,,1.789726967,1.889156243
150,1.292580587,1.789726967,1.789726967,,1.690297691,1.889156243
152,1.292580587,1.690297691,1.690297691,,1.590868415,1.590868415
154,1.292580587,1.690297691,1.690297691,,1.590868415,1.889156243
156,1.292580587,1.690297691,1.690297691,,1.789726967,1.889156243
158,1.392009863,1.789726967,1.690297691,,1.690297691,1.789726967
160,1.392009863,1.690297691,1.789726967,,1.690297691,1.889156243
162,1.491439139,1.690297691,1.789726967,,1.789726967,1.889156243
164,1.392009863,1.789726967,1.690297691,,1.690297691,1.889156243
166,1.392009863,1.789726967,1.789726967,,1.789726967,1.789726967
168,1.193151311,1.889156243,1.789726967,,1.690297691,1.789726967
170,1.292580587,1.789726967,1.690297691,,1.690297691,1.789726967
172,1.292580587,1.889156243,1.789726967,,1.690297691,1.690297691
174,1.392009863,1.988585519,1.789726967,,1.590868415,1.889156243
176,1.491439139,1.789726967,1.690297691,,1.590868415,1.690297691
178,1.292580587,1.889156243,1.789726967,,1.690297691,1.789726967
180,1.491439139,1.889156243,1.690297691,,1.590868415,1.789726967
182,1.392009863,1.988585519,1.690297691,,1.690297691,1.789726967
184,1.392009863,1.889156243,1.690297691,,1.590868415,1.889156243
186,1.392009863,1.889156243,1.690297691,,1.590868415,1.690297691
188,1.292580587,1.789726967,1.789726967,,1.590868415,1.690297691
190,1.392009863,1.889156243,1.789726967,,1.590868415,1.789726967
192,1.292580587,1.889156243,1.789726967,,1.590868415,1.789726967
194,1.292580587,1.889156243,1.789726967,,1.491439139,1.690297691
196,1.292580587,1.889156243,1.789726967,,1.491439139,1.690297691
198,1.292580587,1.889156243,1.690297691,,1.590868415,1.690297691
200,1.292580587,1.988585519,1.789726967,,1.491439139,1.590868415
202,1.491439139,1.988585519,1.789726967,,1.392009863,1.690297691
204,1.292580587,1.889156243,1.690297691,,1.392009863,1.789726967
206,1.392009863,2.088014795,1.889156243,,1.491439139,1.590868415
208,1.392009863,2.088014795,1.889156243,,1.491439139,1.789726967
210,1.491439139,1.988585519,1.690297691,,1.590868415,1.690297691
212,1.590868415,1.889156243,1.789726967,,1.491439139,1.590868415
214,1.392009863,2.088014795,1.789726967,,1.491439139,1.690297691
216,1.491439139,2.088014795,1.690297691,,1.392009863,1.690297691
218,1.590868415,1.988585519,1.889156243,,1.491439139,1.590868415
220,1.491439139,1.889156243,1.789726967,,1.392009863,1.590868415
222,1.491439139,1.988585519,1.789726967,,1.392009863,1.690297691
224,1.491439139,1.988585519,1.789726967,,1.392009863,1.590868415
226,1.491439139,1.988585519,1.988585519,,1.491439139,1.690297691
228,1.590868415,1.988585519,1.889156243,,1.590868415,1.590868415
230,1.392009863,2.088014795,1.789726967,,1.392009863,1.690297691
232,1.292580587,2.088014795,1.988585519,,1.491439139,1.590868415
234,1.491439139,1.988585519,1.889156243,,1.392009863,1.491439139
236,1.491439139,2.088014795,1.789726967,,1.392009863,1.590868415
238,1.392009863,2.088014795,1.889156243,,1.292580587,1.690297691
240,1.392009863,2.088014795,1.889156243,,1.392009863,1.690297691
242,1.491439139,2.088014795,1.889156243,,1.292580587,1.690297691
244,1.491439139,1.988585519,2.088014795,,1.392009863,1.491439139
246,1.392009863,1.988585519,1.889156243,,1.491439139,1.690297691
248,1.491439139,1.988585519,1.988585519,,1.392009863,1.690297691
250,1.590868415,1.988585519,1.988585519,,1.392009863,1.690297691
252,1.491439139,2.088014795,1.988585519,,1.292580587,1.590868415
254,1.690297691,2.088014795,1.988585519,,1.292580587,1.690297691
256,1.690297691,2.088014795,1.988585519,,1.392009863,1.690297691
258,1.690297691,1.988585519,1.889156243,,1.392009863,1.690297691
260,1.690297691,2.088014795,1.988585519,,1.392009863,1.590868415
262,1.491439139,2.088014795,2.088014795,,1.292580587,1.690297691
264,1.590868415,1.988585519,1.889156243,,1.292580587,1.690297691
266,1.690297691,2.088014795,1.889156243,,1.193151311,1.590868415
268,1.690297691,2.088014795,2.088014795,,1.292580587,1.690297691
270,1.690297691,2.088014795,2.088014795,,1.193151311,1.690297691
272,1.590868415,2.088014795,1.988585519,,1.193151311,1.590868415
274,1.690297691,2.088014795,2.088014795,,1.193151311,1.590868415
276,1.590868415,2.088014795,2.088014795,,1.093722036,1.690297691
278,1.690297691,2.187444071,1.988585519,,1.193151311,1.690297691
280,1.590868415,2.187444071,1.889156243,,1.193151311,1.690297691
282,1.590868415,1.988585519,1.988585519,,1.093722036,1.690297691
284,1.690297691,1.988585519,2.088014795,,0.9942927596,1.590868415
286,1.590868415,2.088014795,1.988585519,,1.093722036,1.690297691
288,1.690297691,2.088014795,2.088014795,,1.093722036,1.590868415
290,1.690297691,2.088014795,1.988585519,,1.093722036,1.590868415
292,1.690297691,2.187444071,1.988585519,,1.193151311,1.590868415
294,1.789726967,2.187444071,2.187444071,,1.093722036,1.590868415
296,1.690297691,2.187444071,2.187444071,,0.9942927596,1.690297691
298,1.789726967,2.088014795,1.988585519,,1.193151311,1.690297691
300,1.590868415,2.187444071,2.088014795,,,1.590868415
302,1.789726967,1.988585519,1.988585519,,,1.590868415
304,1.789726967,2.286873347,2.088014795,,,1.590868415
306,1.690297691,2.187444071,2.088014795,,,1.491439139
308,1.789726967,2.187444071,1.988585519,,,1.590868415
310,1.789726967,2.187444071,2.088014795,,,1.392009863
312,1.789726967,2.187444071,1.988585519,,,
314,1.789726967,2.286873347,1.988585519,,,
316,1.889156243,2.088014795,1.988585519,,,
318,1.988585519,2.286873347,2.088014795,,,
320,1.789726967,2.286873347,2.187444071,,,
322,1.789726967,2.386302623,1.988585519,,,
324,1.889156243,2.386302623,2.088014795,,,
326,1.889156243,2.386302623,1.988585519,,,
328,1.988585519,2.386302623,1.988585519,,,
330,1.988585519,2.386302623,2.088014795,,,
332,1.690297691,2.386302623,1.988585519,,,
334,1.789726967,2.485731899,1.988585519,,,
336,1.789726967,2.485731899,2.088014795,,,
338,1.789726967,2.386302623,2.187444071,,,
340,1.988585519,2.485731899,2.088014795,,,
342,1.988585519,2.386302623,2.286873347,,,
344,1.988585519,2.485731899,1.988585519,,,
346,1.988585519,2.485731899,2.187444071,,,
348,2.187444071,2.386302623,1.988585519,,,
350,2.088014795,2.386302623,2.187444071,,,
352,2.187444071,2.386302623,2.088014795,,,
354,2.088014795,2.485731899,2.088014795,,,
356,2.088014795,2.485731899,2.088014795,,,
358,2.187444071,2.485731899,2.187444071,,,
360,2.187444071,2.485731899,2.187444071,,,
362,2.187444071,2.386302623,1.988585519,,,
364,2.088014795,2.485731899,2.187444071,,,
366,2.187444071,2.485731899,2.286873347,,,
368,2.187444071,2.386302623,2.088014795,,,
370,2.187444071,2.485731899,2.088014795,,,
372,2.187444071,2.585161175,2.187444071,,,
374,2.187444071,2.585161175,2.187444071,,,
376,2.088014795,2.485731899,2.286873347,,,
378,2.187444071,2.485731899,2.286873347,,,
380,2.088014795,2.485731899,2.088014795,,,
382,2.088014795,2.684590451,2.088014795,,,
384,2.088014795,2.585161175,2.187444071,,,
386,2.088014795,2.684590451,1.889156243,,,
388,1.988585519,2.684590451,1.789726967,,,
390,1.988585519,2.585161175,2.187444071,,,
392,2.088014795,2.485731899,2.187444071,,,
394,2.088014795,2.585161175,2.088014795,,,
396,2.088014795,2.684590451,2.088014795,,,
398,1.889156243,2.684590451,2.187444071,,,
400,2.088014795,2.684590451,2.187444071,,,
402,2.187444071,2.585161175,2.187444071,,,
404,2.187444071,2.784019727,2.286873347,,,
406,2.187444071,2.784019727,2.187444071,,,
408,2.286873347,2.684590451,2.088014795,,,
410,2.286873347,2.585161175,2.286873347,,,
412,2.286873347,2.784019727,2.187444071,,,
414,2.286873347,2.585161175,2.286873347,,,
416,2.286873347,2.784019727,2.286873347,,,
418,2.187444071,2.684590451,2.286873347,,,
420,2.187444071,2.784019727,2.286873347,,,
422,2.187444071,2.684590451,2.386302623,,,
424,2.286873347,2.784019727,2.187444071,,,
426,2.286873347,2.784019727,2.286873347,,,
428,2.286873347,2.684590451,2.286873347,,,
430,2.386302623,2.684590451,2.386302623,,,
432,2.485731899,2.684590451,2.286873347,,,
434,2.386302623,2.684590451,2.187444071,,,
436,2.386302623,2.784019727,2.386302623,,,
438,2.286873347,2.684590451,2.286873347,,,
440,2.386302623,2.684590451,2.286873347,,,
442,2.386302623,2.585161175,2.485731899,,,
444,2.386302623,2.784019727,2.386302623,,,
446,2.386302623,2.585161175,2.286873347,,,
448,2.386302623,2.684590451,2.286873347,,,
450,2.386302623,2.684590451,2.485731899,,,
452,2.485731899,2.784019727,2.485731899,,,
454,2.386302623,2.784019727,2.386302623,,,
456,2.585161175,2.684590451,2.386302623,,,
458,2.485731899,2.883449003,2.485731899,,,
460,2.386302623,2.784019727,2.485731899,,,
462,2.485731899,2.684590451,2.485731899,,,
464,2.485731899,2.784019727,2.485731899,,,
466,2.485731899,2.684590451,2.386302623,,,
468,2.386302623,2.883449003,2.585161175,,,
470,2.485731899,2.684590451,2.485731899,,,
472,2.485731899,2.784019727,2.485731899,,,
474,2.485731899,2.784019727,2.585161175,,,
476,2.585161175,2.784019727,2.386302623,,,
478,2.585161175,2.883449003,2.485731899,,,
480,2.585161175,2.883449003,2.485731899,,,
482,2.585161175,2.784019727,2.386302623,,,
484,2.485731899,2.883449003,2.286873347,,,
486,2.684590451,2.883449003,2.485731899,,,
488,2.684590451,2.784019727,2.485731899,,,
490,2.485731899,2.883449003,2.485731899,,,
492,2.485731899,2.883449003,2.485731899,,,
494,2.585161175,2.883449003,2.585161175,,,
496,2.684590451,2.982878279,2.485731899,,,
498,2.684590451,2.982878279,2.585161175,,,
500,2.585161175,2.982878279,2.585161175,,,
502,2.684590451,2.883449003,2.485731899,,,
504,2.585161175,2.982878279,2.585161175,,,
506,2.585161175,2.883449003,2.585161175,,,
508,2.485731899,2.982878279,2.585161175,,,
510,2.485731899,2.982878279,2.585161175,,,
512,2.485731899,3.281166107,2.386302623,,,
514,2.585161175,3.181736831,2.485731899,,,
516,2.585161175,3.082307555,2.485731899,,,
518,2.585161175,2.982878279,2.585161175,,,
520,2.684590451,3.082307555,2.585161175,,,
522,2.784019727,2.982878279,2.485731899,,,
524,2.585161175,3.181736831,2.386302623,,,
526,2.684590451,3.281166107,2.485731899,,,
528,2.784019727,3.082307555,2.386302623,,,
530,2.784019727,3.181736831,2.485731899,,,
