Time,5 Pa,5 Pa,5 Pa,0 Pa,0 Pa,0 Pa
0,0.6960049317,0.9942927596,1.193151311,2.784019727,3.082307555,2.286873347
2,0.6960049317,1.093722036,1.093722036,2.485731899,2.883449003,2.286873347
4,0.8948634836,0.9942927596,1.093722036,2.386302623,2.684590451,2.386302623
6,0.7954342076,1.093722036,1.093722036,2.286873347,2.684590451,2.187444071
8,0.7954342076,1.093722036,1.193151311,2.286873347,2.684590451,2.088014795
10,0.8948634836,1.193151311,1.292580587,2.187444071,2.585161175,2.286873347
12,0.8948634836,1.193151311,1.193151311,2.187444071,2.585161175,2.187444071
14,0.9942927596,1.193151311,1.193151311,2.088014795,2.684590451,2.187444071
16,1.093722036,1.193151311,1.292580587,2.088014795,2.585161175,2.187444071
18,0.9942927596,1.193151311,1.193151311,2.088014795,2.684590451,2.187444071
20,1.093722036,1.292580587,1.193151311,2.088014795,2.485731899,2.088014795
22,1.093722036,1.193151311,1.093722036,1.988585519,2.585161175,2.187444071
24,0.9942927596,1.093722036,1.193151311,1.988585519,2.485731899,2.187444071
26,0.9942927596,1.093722036,1.292580587,1.889156243,2.485731899,2.187444071
28,0.9942927596,1.292580587,1.292580587,1.889156243,2.386302623,2.286873347
30,0.9942927596,1.193151311,1.392009863,1.889156243,2.286873347,2.187444071
32,0.9942927596,1.193151311,1.292580587,1.789726967,2.386302623,2.286873347
34,0.8948634836,1.193151311,1.392009863,1.889156243,2.386302623,2.187444071
36,1.093722036,1.292580587,1.292580587,1.889156243,2.286873347,2.286873347
38,1.193151311,1.193151311,1.392009863,1.789726967,2.286873347,2.088014795
40,1.093722036,1.392009863,1.292580587,1.690297691,2.386302623,2.286873347
42,1.093722036,1.392009863,1.392009863,1.690297691,2.286873347,1.789726967
44,1.093722036,1.292580587,1.193151311,1.590868415,2.286873347,2.088014795
46,1.093722036,1.392009863,1.392009863,1.491439139,2.386302623,2.088014795
48,0.9942927596,1.292580587,1.392009863,1.590868415,2.386302623,2.088014795
50,0.9942927596,1.392009863,1.491439139,1.491439139,2.286873347,2.088014795
52,1.093722036,1.392009863,1.392009863,1.392009863,2.187444071,1.988585519
